opd_date	rte	dir	day_of_week	is_ns	is_rapid	is_weekend	orca_total	frac_disabled	frac_youth	frac_senior	frac_li	frac_uw	ons	region	start	end	type	summer
2019-01-07	48	S	0	1.0	0.0	0.0	2084.0	0.010903476223025092	0.05640949864292313	0.009961279322181573	0.018338056718097736	0.06333198585420048	2726.0	Seattle	University District	Mount Baker	Conventional	False
2019-01-07	49	S	0	1.0	0.0	0.0	2225.0	0.02448952138553216	0.015304191301501924	0.02607314077309068	0.03152018682050059	0.08347228753469689	2864.0	Seattle	University District	Downtown Seattle	Trolley	False
2019-01-07	50	E	0	0.0	0.0	0.0	808.0	0.010592868081382628	0.021366100294124793	0.008917815211842777	0.011707868446000145	0.005681834755341646	1156.0	Seattle	Alki Point	Othello Station	Conventional	False
2019-01-07	50	W	0	0.0	0.0	0.0	909.0	0.009419670952081271	0.028185341684397694	0.007972219724894362	0.015339836375078669	0.004561494201204712	1246.0	Seattle	Alki Point	Othello Station	Conventional	False
2019-01-07	55	N	0	1.0	0.0	0.0	122.0	0.0	0.0	0.021739130434782608	0.0	0.0030595813204508855	152.0	Seattle	Admiral District	Downtown Seattle	Conventional	False
2019-01-07	55	S	0	1.0	0.0	0.0	155.0	0.019688644688644688	0.019379480917942456	0.0	0.0007122507122507122	0.00754985754985755	195.0	Seattle	Admiral District	Downtown Seattle	Conventional	False
2019-01-07	56	N	0	1.0	0.0	0.0	114.0	0.0014705882352941176	0.0125	0.01583333333333333	0.0014705882352941176	0.01583333333333333	131.0	Seattle	Alki Point	Downtown Seattle	Conventional	False
2019-01-07	56	S	0	1.0	0.0	0.0	68.0	0.00625	0.005654761904761904	0.01875	0.0	0.005929487179487179	78.0	Seattle	Alki Point	Downtown Seattle	Conventional	False
2019-01-07	57	N	0	1.0	0.0	0.0	26.0	0.008620689655172414	0.008620689655172414	0.011494252873563218	0.0	0.04597701149425287	29.0	Seattle	Alaska Junction	Downtown Seattle	Conventional	False
2019-01-07	57	S	0	1.0	0.0	0.0	47.0	0.0	0.0	0.002564102564102564	0.004166666666666667	0.014988344988344988	53.0	Seattle	Alaska Junction	Downtown Seattle	Conventional	False
2019-01-07	60	N	0	1.0	0.0	0.0	205.0	0.030690537084398978	0.02686842853083262	0.020034100596760442	0.03205456095481671	0.02714485003487561	333.0	Seattle	Capitol Hill	Westwood Village	Conventional	False
2019-01-07	60	S	0	1.0	0.0	0.0	224.0	0.03116883116883117	0.08388719799112163	0.02421602787456446	0.03174955126174639	0.026480836236933796	332.0	Seattle	Capitol Hill	Westwood Village	Conventional	False
2019-01-07	62	N	0	1.0	0.0	0.0	2431.0	0.010690431666945884	0.021572241931945273	0.0069318231555561575	0.01009620019106945	0.015523573904030617	3422.0	Seattle	Downtown Seattle	Sand Point	Conventional	False
2019-01-07	62	S	0	1.0	0.0	0.0	2389.0	0.012052360011457357	0.021476703477764893	0.008904184930597064	0.009427560686059641	0.013163105200239094	3182.0	Seattle	Downtown Seattle	Sand Point	Conventional	False
2019-01-07	64	N	0	1.0	0.0	0.0	320.0	0.003537735849056604	0.020440251572327046	0.001572327044025157	0.0052914852443154345	0.024882233901427138	401.0	Seattle	Jackson Park	Cherry Hill	Conventional	False
2019-01-07	65	N	0	1.0	0.0	0.0	1379.0	0.004090910829165862	0.024327671920937367	0.007022343117980701	0.0061301406856833825	0.07352118393673544	1780.0	Seattle	Jackson Park	University District	Conventional	False
2019-01-07	65	S	0	1.0	0.0	0.0	693.0	0.005636955636955637	0.02893264143264143	0.009818884818884818	0.013452817024245596	0.08882783882783883	983.0	Seattle	Jackson Park	University District	Conventional	False
2019-01-07	67	S	0	1.0	0.0	0.0	782.0	0.011058067615444665	0.019229267999759804	0.015249504593766887	0.020591930837832475	0.2116028325044718	1039.0	Seattle	Northgate Transit Center	Children's Hospital	Conventional	False
